Festival;year;Notes;Stage name;Main genre;genres on Spotify
Reading;2012;;Kasabian;rock;alternative dance,alternative rock,electronic,garage rock,indie rock,new rave,rock
Reading;2017;;Kasabian;rock;alternative dance,alternative rock,electronic,garage rock,indie rock,new rave,rock
t in the park;2010;;Kasabian;rock;alternative dance,alternative rock,electronic,garage rock,indie rock,new rave,rock
t in the park;2012;;Kasabian;rock;alternative dance,alternative rock,electronic,garage rock,indie rock,new rave,rock
t in the park;2015;;Kasabian;rock;alternative dance,alternative rock,electronic,garage rock,indie rock,new rave,rock
v festival;2007;;Kasabian;rock;alternative dance,alternative rock,electronic,garage rock,indie rock,new rave,rock
v festival;2010;;Kasabian;rock;alternative dance,alternative rock,electronic,garage rock,indie rock,new rave,rock
v festival;2015;;Kasabian;rock;alternative dance,alternative rock,electronic,garage rock,indie rock,new rave,rock
Wireless;2005;;Kasabian;rock;alternative dance,alternative rock,electronic,garage rock,indie rock,new rave,rock
Latitude;2008;;Franz Ferdinand;rock;alternative dance,alternative rock,dance-punk,garage rock,indie rock,new rave,rock
Reading;2006;;Franz Ferdinand;rock;alternative dance,alternative rock,dance-punk,garage rock,indie rock,new rave,rock
v festival;2005;;Franz Ferdinand;rock;alternative dance,alternative rock,dance-punk,garage rock,indie rock,new rave,rock
Latitude;2008;;Interpol;indie;alternative dance,alternative rock,dance-punk,garage rock,indie pop,indie rock,indietronica,new rave,new wave,pop rock,rock
bestival;2014;;Foals;indie;alternative dance,alternative rock,dance-punk,garage rock,indie pop,indie rock,indietronica,math pop,new rave,shimmer pop,synthpop
Latitude;2013;;Foals;indie;alternative dance,alternative rock,dance-punk,garage rock,indie pop,indie rock,indietronica,math pop,new rave,shimmer pop,synthpop
Reading;2016;;Foals;indie;alternative dance,alternative rock,dance-punk,garage rock,indie pop,indie rock,indietronica,math pop,new rave,shimmer pop,synthpop
Latitude;2013;;Bloc Party;indie;alternative dance,alternative rock,dance-punk,electronic,garage rock,indie pop,indie rock,indietronica,new rave,rock,synthpop
