Festival;year;Notes;Stage name;Main genre;genres on Spotify
Glastonbury;1999;;R.E.M.;rock;album rock,alternative rock,classic rock,dance rock,folk christmas,hard rock,indie rock,mellow gold,neo mellow,new wave,permanent wave,pop christmas,pop rock,rock,singer-songwriter
Glastonbury;2003;;R.E.M.;rock;album rock,alternative rock,classic rock,dance rock,folk christmas,hard rock,indie rock,mellow gold,neo mellow,new wave,permanent wave,pop christmas,pop rock,rock,singer-songwriter
Isle of Wight;2005;;R.E.M.;rock;album rock,alternative rock,classic rock,dance rock,folk christmas,hard rock,indie rock,mellow gold,neo mellow,new wave,permanent wave,pop christmas,pop rock,rock,singer-songwriter
t in the park;2003;;R.E.M.;rock;album rock,alternative rock,classic rock,dance rock,folk christmas,hard rock,indie rock,mellow gold,neo mellow,new wave,permanent wave,pop christmas,pop rock,rock,singer-songwriter
t in the park;2008;;R.E.M.;rock;album rock,alternative rock,classic rock,dance rock,folk christmas,hard rock,indie rock,mellow gold,neo mellow,new wave,permanent wave,pop christmas,pop rock,rock,singer-songwriter
Isle of Wight;2012;;Tom Petty and the Heartbreakers;rock;album rock,alternative rock,blues-rock,classic rock,folk rock,hard rock,mellow gold,pop rock,psychedelic rock,rock,roots rock,singer-songwriter,soft rock,southern rock
Glastonbury;1993;;the black crowes;rock;album rock,alternative rock,blues-rock,classic rock,electric blues,funk rock,hard rock,jam band,mellow gold,modern blues,pop rock,post-grunge,rock,roots rock,singer-songwriter,southern rock
download;2005;;black sabbath;metal;album rock,alternative rock,art rock,classic rock,hard rock,metal,rock,stoner rock
download;2012;;black sabbath;metal;album rock,alternative rock,art rock,classic rock,hard rock,metal,rock,stoner rock
download;2016;;black sabbath;metal;album rock,alternative rock,art rock,classic rock,hard rock,metal,rock,stoner rock
cornbury festival;2005;;elvis costello;new wave;album rock,alternative rock,art rock,classic rock,dance rock,folk,folk rock,mellow gold,new wave,new wave pop,permanent wave,pop rock,power pop,pub rock,rock,roots rock,singer-songwriter,soft rock
cornbury festival;2012;;elvis costello;new wave;album rock,alternative rock,art rock,classic rock,dance rock,folk,folk rock,mellow gold,new wave,new wave pop,permanent wave,pop rock,power pop,pub rock,rock,roots rock,singer-songwriter,soft rock
Glastonbury;1987;;elvis costello;new wave;album rock,alternative rock,art rock,classic rock,dance rock,folk,folk rock,mellow gold,new wave,new wave pop,permanent wave,pop rock,power pop,pub rock,rock,roots rock,singer-songwriter,soft rock
Glastonbury;1989;;elvis costello;new wave;album rock,alternative rock,art rock,classic rock,dance rock,folk,folk rock,mellow gold,new wave,new wave pop,permanent wave,pop rock,power pop,pub rock,rock,roots rock,singer-songwriter,soft rock
Glastonbury;1994;;elvis costello;new wave;album rock,alternative rock,art rock,classic rock,dance rock,folk,folk rock,mellow gold,new wave,new wave pop,permanent wave,pop rock,power pop,pub rock,rock,roots rock,singer-songwriter,soft rock
Isle of Wight;2012;;Pearl Jam;rock;album rock,alternative metal,alternative rock,classic rock,funk rock,grunge,hard rock,nu metal,permanent wave,pop rock,post-grunge,rock
Reading;2006;;Pearl Jam;rock;album rock,alternative metal,alternative rock,classic rock,funk rock,grunge,hard rock,nu metal,permanent wave,pop rock,post-grunge,rock
cornbury festival;2016;;jamie cullum;jazz;adult standards,neo mellow,pop christmas,vocal jazz
rewind;2013;;the pointer sisters;soul;adult standards,album rock,classic funk rock,dance pop,dance rock,disco,europop,funk,mellow gold,motown,new romantic,new wave,new wave pop,post-disco,quiet storm,soft rock,soul,soul christmas
Glastonbury;2002;;Rod Stewart;rock;adult standards,album rock,art rock,classic rock,folk christmas,folk rock,hard rock,mellow gold,rock,singer-songwriter,soft rock
